word_id,tag_id
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
3,6
3,12
3,13
3,14
3,15
4,16
4,17
4,18
4,19
4,20
5,21
5,22
5,23
5,24
5,25
6,26
6,27
6,28
6,29
6,30
7,31
7,32
7,33
7,34
7,35
8,36
8,37
8,38
8,39
8,40
9,41
9,42
9,43
9,44
9,45
10,46
10,47
10,48
10,49
10,50
11,51
11,52
11,53
11,54
11,55
11,275
11,750
11,751
11,752
11,753
12,56
12,57
12,58
12,59
12,60
13,61
13,62
13,63
13,64
13,65
14,27
14,66
14,68
14,69
14,70
15,71
15,72
15,73
15,74
15,75
16,76
16,77
16,78
16,79
16,80
17,81
17,82
17,83
17,84
17,85
18,86
18,87
18,88
18,89
18,90
19,91
19,92
19,93
19,94
19,95
20,96
20,97
20,98
20,99
20,100
21,51
21,102
21,103
21,104
21,105
22,106
22,107
22,108
22,109
22,110
23,111
23,112
23,113
23,114
23,115
24,111
24,117
24,118
24,119
24,120
25,111
25,122
25,123
25,124
25,125
26,126
26,127
26,128
26,129
26,130
27,16
27,132
27,133
27,134
27,135
28,136
28,137
28,138
28,139
28,140
29,136
29,138
29,142
29,143
29,145
30,146
30,147
30,148
30,149
30,150
31,151
31,152
31,153
31,154
31,155
32,156
32,157
32,158
32,159
32,160
33,158
33,161
33,162
33,163
33,165
34,156
34,160
34,167
34,168
34,170
35,159
35,160
35,171
35,172
35,175
36,160
36,176
36,177
36,178
36,179
37,158
37,160
37,181
37,183
37,184
38,181
38,187
38,188
38,189
38,190
39,158
39,189
39,191
39,192
39,194
40,158
40,196
40,197
40,199
40,200
41,160
41,196
41,202
41,203
41,204
41,461
41,462
41,463
41,465
42,206
42,207
42,208
42,209
42,210
43,206
43,209
43,212
43,213
43,214
44,217
44,218
44,219
44,220
45,221
45,222
45,223
45,224
45,225
46,226
46,227
46,228
46,229
46,230
47,231
47,232
47,233
47,234
47,235
48,236
48,237
48,238
48,239
48,240
49,239
49,241
49,242
49,243
49,245
50,239
50,241
50,243
50,249
50,250
51,239
51,251
51,252
51,253
51,254
52,256
52,257
52,258
52,259
52,260
53,209
53,259
53,261
53,262
53,263
54,266
54,267
54,268
54,269
54,270
55,271
55,272
55,273
55,274
55,275
56,276
56,277
56,278
56,279
56,280
57,281
57,282
57,283
57,284
57,285
58,281
58,283
58,287
58,288
58,290
59,291
59,292
59,293
59,294
59,295
60,296
60,297
60,298
60,299
60,300
61,110
61,259
61,301
61,302
61,305
62,290
62,306
62,307
62,308
62,309
63,311
63,312
63,313
63,314
63,315
64,282
64,292
64,316
64,319
64,320
65,110
65,292
65,295
65,321
65,324
66,326
66,327
66,328
66,329
66,330
67,145
67,160
67,331
67,332
67,335
68,280
68,336
68,337
68,338
68,339
69,341
69,342
69,343
69,344
69,345
70,346
70,347
70,348
70,349
70,350
71,351
71,352
71,353
71,354
71,355
72,356
72,357
72,358
72,359
72,360
73,361
73,362
73,363
73,364
73,365
74,366
74,367
74,368
74,369
74,370
75,366
75,372
75,373
75,374
75,375
76,366
76,377
76,378
76,379
76,380
77,191
77,382
77,383
77,384
77,385
78,158
78,192
78,386
78,388
78,390
79,187
79,391
79,393
79,394
79,395
80,391
80,396
80,397
80,398
80,399
81,275
81,401
81,402
81,403
81,404
82,189
82,406
82,408
82,409
82,410
83,411
83,412
83,413
83,414
83,415
84,414
84,416
84,417
84,418
84,420
85,421
85,422
85,423
85,424
85,425
86,426
86,427
86,428
86,429
86,430
87,431
87,432
87,433
87,434
87,435
88,203
88,436
88,437
88,439
88,440
89,160
89,441
89,442
89,443
89,445
90,158
90,184
90,446
90,448
90,449
91,425
91,451
91,452
91,453
91,455
92,145
92,417
92,456
92,459
92,460
94,223
94,225
94,466
94,468
94,469
95,160
95,471
95,472
95,473
95,474
96,469
96,476
96,477
96,478
96,479
97,225
97,481
97,482
97,484
97,485
98,417
98,481
98,487
98,488
98,490
99,491
99,492
99,493
99,494
99,495
100,496
100,497
100,498
100,499
100,500
101,275
101,501
101,502
101,503
101,505
102,506
102,507
102,508
102,509
102,510
103,511
103,512
103,513
103,514
103,515
104,516
104,517
104,518
104,519
104,520
105,275
105,521
105,522
105,523
105,524
106,526
106,527
106,528
106,529
106,530
107,519
107,526
107,532
107,533
107,534
108,526
108,537
108,538
108,539
108,540
109,523
109,529
109,541
109,542
109,544
110,546
110,547
110,548
110,549
110,550
111,519
111,551
111,552
111,553
111,555
112,556
112,557
112,558
112,559
112,560
113,561
113,562
113,563
113,564
113,565
114,566
114,567
114,568
114,569
114,570
115,259
115,571
115,572
115,573
115,574
116,576
116,577
116,578
116,579
116,580
117,581
117,582
117,583
117,584
117,585
118,259
118,586
118,587
118,588
118,589
119,591
119,592
119,593
119,594
119,595
120,596
120,597
120,598
120,599
120,600
121,601
121,602
121,603
121,604
121,605
122,606
122,607
122,608
122,609
122,610
123,611
123,612
123,613
123,614
123,615
124,616
124,617
124,618
124,619
124,620
125,616
125,622
125,623
125,624
125,625
126,614
126,616
126,627
126,628
126,630
127,616
127,632
127,633
127,634
127,635
128,616
128,637
128,638
128,639
128,640
129,641
129,642
129,643
129,644
130,645
130,646
130,647
130,648
130,649
131,650
131,651
131,652
131,653
131,654
132,645
132,656
132,657
132,658
132,659
133,259
133,660
133,661
133,663
133,664
134,665
134,666
134,667
134,668
134,669
135,670
135,671
135,672
135,673
135,674
136,670
136,676
136,677
136,678
136,679
137,680
137,681
137,682
137,683
137,684
138,685
138,686
138,687
138,688
138,689
139,673
139,690
139,691
139,692
139,694
140,682
140,695
140,697
140,698
140,699
141,259
141,700
141,701
141,703
141,704
142,640
142,685
142,706
142,707
142,709
143,519
143,685
143,712
143,713
143,714
144,275
144,661
144,715
144,718
144,719
145,720
145,721
145,722
145,723
145,724
146,661
146,723
146,725
146,726
146,727
147,730
147,731
147,732
147,733
147,734
148,726
148,735
148,737
148,738
148,739
149,740
149,741
149,742
149,743
149,744
150,745
150,746
150,747
150,748
150,749
152,755
152,756
152,757
152,758
152,759
153,760
153,761
153,762
153,763
153,764
154,765
154,766
154,767
154,768
154,769
155,94
155,770
155,772
155,773
155,774
156,750
156,775
156,776
156,777
156,779
157,775
157,781
157,782
157,783
157,784
158,785
158,786
158,787
158,788
158,789
159,790
159,791
159,792
159,793
159,794
160,757
160,795
160,796
160,798
160,799
161,800
161,801
161,802
161,803
161,804
162,804
162,805
162,807
162,808
162,809
163,810
163,811
163,812
163,813
163,814
164,815
164,816
164,817
164,818
164,819
165,818
165,820
165,821
165,822
165,823
166,815
166,826
166,827
166,828
166,829
167,820
167,831
167,832
167,833
167,834
168,835
168,836
168,837
168,838
168,839
169,840
169,841
169,842
169,843
169,844
170,845
170,846
170,847
170,848
170,849
171,834
171,850
171,851
171,852
171,853
172,329
172,851
172,855
172,859
173,860
173,861
173,862
173,863
173,864
174,853
174,865
174,866
174,868
174,869
175,870
175,871
175,872
175,873
175,874
176,853
176,870
176,877
176,878
176,879
177,870
177,881
177,882
177,883
177,884
178,85
178,885
178,886
178,887
178,888
179,843
179,884
179,890
179,891
179,892
180,895
180,896
180,897
180,898
180,899
180,1881
180,1884
180,1888
180,1890
180,1892
181,851
181,900
181,902
181,903
181,904
182,905
182,906
182,907
182,908
182,909
183,848
183,910
183,912
183,913
183,914
184,564
184,915
184,916
184,917
184,919
185,683
185,848
185,920
185,921
186,925
186,926
186,927
186,928
186,929
187,275
187,930
187,931
187,933
187,934
188,935
188,936
188,937
188,938
188,939
189,919
189,940
189,941
189,942
189,943
190,609
190,886
190,945
190,946
190,949
191,924
191,950
191,952
191,953
191,954
192,955
192,956
192,957
192,958
192,959
193,955
193,961
193,962
193,963
193,964
194,955
194,961
194,967
194,968
194,969
195,955
195,971
195,972
195,973
195,974
196,955
196,976
196,977
196,978
196,979
197,955
197,981
197,982
197,983
197,984
198,955
198,961
198,987
198,988
198,989
199,955
199,961
199,992
199,993
199,994
200,100
200,845
200,996
200,997
200,999
201,100
201,1000
201,1001
201,1002
201,1004
202,819
202,1005
202,1006
202,1007
202,1009
203,800
203,843
203,1012
203,1013
203,1014
204,1015
204,1016
204,1017
204,1018
204,1019
205,96
205,100
205,1021
205,1023
205,1024
206,1025
206,1026
206,1027
206,1028
206,1029
207,1
207,1031
207,1032
207,1033
207,1034
208,1035
208,1036
208,1037
208,1038
208,1039
209,96
209,1041
209,1042
209,1043
209,1044
210,100
210,818
210,1007
210,1045
210,1048
211,1050
211,1051
211,1052
211,1053
211,1054
212,1015
212,1017
212,1057
212,1058
212,1059
213,1007
213,1060
213,1062
213,1063
213,1064
214,105
214,1012
214,1065
214,1067
214,1069
215,1070
215,1071
215,1072
215,1073
215,1074
216,1075
216,1076
216,1077
216,1078
216,1079
217,570
217,670
217,1081
217,1082
217,1083
218,682
218,1075
218,1086
218,1088
218,1089
219,700
219,1091
219,1092
219,1093
219,1094
220,701
220,1071
220,1095
220,1096
220,1099
221,570
221,1100
221,1101
221,1102
221,1103
222,1081
222,1105
222,1107
222,1108
222,1109
223,1110
223,1111
223,1112
223,1113
223,1114
224,1115
224,1116
224,1117
224,1118
224,1119
225,1094
225,1120
225,1121
225,1122
225,1124
226,1125
226,1126
226,1127
226,1128
226,1129
227,1094
227,1110
227,1131
227,1132
227,1134
228,1135
228,1136
228,1137
228,1138
228,1139
229,613
229,628
229,1140
229,1141
229,1142
230,1125
230,1146
230,1147
230,1148
230,1149
231,1150
231,1151
231,1152
231,1153
231,1154
232,1155
232,1156
232,1157
232,1158
232,1159
233,1160
233,1161
233,1162
233,1163
233,1164
234,1165
234,1166
234,1167
234,1168
234,1169
235,1170
235,1171
235,1172
235,1173
235,1174
236,1175
236,1176
236,1177
236,1178
236,1179
237,1152
237,1180
237,1181
237,1182
237,1184
238,1185
238,1186
238,1187
238,1188
238,1189
239,1190
239,1191
239,1192
239,1193
239,1194
240,1195
240,1196
240,1197
240,1198
240,1199
241,1200
241,1201
241,1202
241,1203
241,1204
242,1177
242,1205
242,1206
242,1207
242,1209
243,1210
243,1211
243,1212
243,1213
243,1214
244,1212
244,1215
244,1217
244,1218
244,1219
245,1220
245,1221
245,1222
245,1223
245,1224
246,1225
246,1226
246,1227
246,1228
246,1229
247,1230
247,1231
247,1232
247,1233
247,1234
248,1235
248,1236
248,1237
248,1238
248,1239
249,1240
249,1241
249,1242
249,1243
249,1244
250,1245
250,1246
250,1247
250,1248
250,1249
251,1250
251,1251
251,1252
251,1253
251,1254
252,1255
252,1256
252,1257
252,1258
252,1259
253,1260
253,1261
253,1262
253,1263
253,1264
254,1177
254,1265
254,1266
254,1268
254,1269
255,1209
255,1270
255,1272
255,1273
255,1274
256,1268
256,1275
256,1276
256,1277
256,1278
257,1280
257,1281
257,1282
257,1283
257,1284
258,1285
258,1286
258,1287
258,1288
258,1289
259,1290
259,1291
259,1292
259,1293
259,1294
260,1295
260,1296
260,1297
260,1298
260,1299
261,1300
261,1301
261,1302
261,1303
261,1304
262,1291
262,1305
262,1306
262,1307
262,1308
263,1310
263,1311
263,1312
263,1313
263,1314
264,1315
264,1316
264,1317
264,1318
264,1319
265,1188
265,1320
265,1321
265,1323
265,1324
266,1325
266,1326
266,1327
266,1328
266,1329
267,1326
267,1330
267,1332
267,1333
267,1334
268,1268
268,1335
268,1336
268,1338
268,1339
269,1340
269,1341
269,1342
269,1343
269,1344
270,1345
270,1346
270,1347
270,1348
270,1349
271,1350
271,1351
271,1352
271,1353
271,1354
272,1355
272,1356
272,1357
272,1358
272,1359
273,1360
273,1361
273,1362
273,1363
273,1364
274,1365
274,1366
274,1367
274,1368
274,1369
275,1370
275,1371
275,1372
275,1373
275,1374
276,1375
276,1376
276,1377
276,1378
276,1379
277,1380
277,1381
277,1382
277,1383
277,1384
278,1286
278,1385
278,1386
278,1388
278,1389
279,1390
279,1391
279,1392
279,1393
279,1394
280,1250
280,1395
280,1396
280,1398
280,1399
281,1338
281,1400
281,1401
281,1402
281,1404
282,1405
282,1406
282,1407
282,1408
282,1409
283,1286
283,1410
283,1411
283,1412
283,1413
284,1415
284,1416
284,1417
284,1418
284,1419
285,1420
285,1421
285,1422
285,1423
285,1424
286,1425
286,1426
286,1427
286,1428
286,1429
287,1338
287,1430
287,1432
287,1433
287,1434
288,1435
288,1436
288,1437
288,1438
288,1439
289,1338
289,1440
289,1441
289,1442
289,1443
290,1249
290,1445
290,1446
290,1448
290,1449
291,1450
291,1451
291,1452
291,1453
291,1454
292,1455
292,1456
292,1457
292,1458
292,1459
293,1460
293,1461
293,1462
293,1463
293,1464
294,1396
294,1466
294,1467
294,1468
294,1469
295,1470
295,1471
295,1472
295,1473
295,1474
296,1366
296,1475
296,1476
296,1477
296,1478
297,1480
297,1481
297,1482
297,1483
297,1484
298,1485
298,1486
298,1487
298,1488
298,1489
299,1489
299,1490
299,1491
299,1493
299,1494
300,1495
300,1496
300,1497
300,1498
300,1499
301,1500
301,1501
301,1502
301,1503
301,1504
302,1505
302,1506
302,1507
302,1508
302,1509
303,1509
